date,Observations,,1850-1900
1750.042,0.000,0.000,0.000
1750.125,0.000,0.000,0.000
1750.209,0.000,0.000,0.000
1750.292,0.000,0.000,0.000
1750.375,0.000,0.000,0.000
1750.459,0.000,0.000,0.000
1750.542,0.000,0.000,0.000
1750.625,0.000,0.000,0.000
1750.709,0.000,0.000,0.000
1750.792,0.000,0.000,0.000
1750.875,0.000,0.000,0.000
1750.959,0.000,0.000,0.000
1751.042,0.000,0.000,0.000
1751.125,0.000,0.000,0.000
1751.209,0.000,0.000,0.000
1751.292,0.000,0.000,0.000
1751.375,0.000,0.000,0.000
1751.459,0.000,0.000,0.000
1751.542,0.000,0.000,0.000
1751.625,0.000,0.000,0.000
1751.709,0.000,0.000,0.000
1751.792,0.000,0.000,0.000
1751.875,0.000,0.000,0.000
1751.959,0.000,0.000,0.000
1752.042,0.000,0.000,0.000
1752.125,0.000,0.000,0.000
1752.209,0.000,0.000,0.000
1752.292,0.000,0.000,0.000
1752.375,0.000,0.000,0.000
1752.459,0.000,0.000,0.000
1752.542,0.000,0.000,0.000
1752.625,0.000,0.000,0.000
1752.709,0.000,0.000,0.000
1752.792,0.000,0.000,0.000
1752.875,0.000,0.000,0.000
1752.959,0.000,0.000,0.000
1753.042,0.000,0.000,0.000
1753.125,0.000,0.000,0.000
1753.209,0.000,0.000,0.000
1753.292,0.000,0.000,0.000
1753.375,0.000,0.000,0.000
1753.459,0.000,0.000,0.000
1753.542,0.000,0.000,0.000
1753.625,0.000,0.000,0.000
1753.709,0.000,0.000,0.000
1753.792,0.000,0.000,0.000
1753.875,0.000,0.000,0.000
1753.959,0.000,0.000,0.000
1754.042,0.000,0.000,0.000
1754.125,0.000,0.000,0.000
1754.209,0.000,0.000,0.000
1754.292,0.000,0.000,0.000
1754.375,0.000,0.000,0.000
1754.459,0.000,0.000,0.000
1754.542,0.000,0.000,0.000
1754.625,0.000,0.000,0.000
1754.709,0.000,0.000,0.000
1754.792,0.000,0.000,0.000
1754.875,0.000,0.000,0.000
1754.959,0.000,0.000,0.000
1755.042,0.000,0.000,0.000
1755.125,0.000,0.000,0.000
1755.209,0.000,0.000,0.000
1755.292,0.000,0.000,0.000
1755.375,0.000,0.000,0.000
1755.459,0.000,0.000,0.000
1755.542,0.000,0.000,0.000
1755.625,0.000,0.000,0.000
1755.709,0.000,0.000,0.000
1755.792,0.000,0.000,0.000
1755.875,0.000,0.000,0.000
1755.959,0.000,0.000,0.000
1756.042,0.000,0.000,0.000
1756.125,0.000,0.000,0.000
1756.209,0.000,0.000,0.000
1756.292,0.000,0.000,0.000
1756.375,0.000,0.000,0.000
1756.459,0.000,0.000,0.000
1756.542,0.000,0.000,0.000
1756.625,0.000,0.000,0.000
1756.709,0.000,0.000,0.000
1756.792,0.000,0.000,0.000
1756.875,0.000,0.000,0.000
1756.959,0.000,0.000,0.000
1757.042,0.000,0.000,0.000
1757.125,0.000,0.000,0.000
1757.209,0.000,0.000,0.000
1757.292,0.000,0.000,0.000
1757.375,0.000,0.000,0.000
1757.459,0.000,0.000,0.000
1757.542,0.000,0.000,0.000
1757.625,0.000,0.000,0.000
1757.709,0.000,0.000,0.000
1757.792,0.000,0.000,0.000
1757.875,0.000,0.000,0.000
1757.959,0.000,0.000,0.000
1758.042,0.000,0.000,0.000
1758.125,0.000,0.000,0.000
1758.209,0.000,0.000,0.000
1758.292,0.000,0.000,0.000
1758.375,0.000,0.000,0.000
1758.459,0.000,0.000,0.000
1758.542,0.000,0.000,0.000
